iter	Passed	Remaining
0	78	77948
1	81	40449
2	82	27418
3	83	20872
4	85	16953
5	86	14322
6	88	12588
7	90	11198
8	91	10127
9	93	9270
10	94	8533
11	96	7920
12	97	7435
13	99	7000
14	100	6614
15	104	6430
16	107	6190
17	108	5922
18	110	5679
19	112	5509
20	115	5377
21	129	5776
22	131	5581
23	133	5414
24	135	5277
25	136	5124
26	138	4999
27	140	4880
28	142	4754
29	143	4638
30	144	4527
31	146	4425
32	148	4352
33	150	4269
34	151	4188
35	153	4105
36	154	4024
37	156	3951
38	157	3886
39	159	3821
40	160	3759
41	163	3727
42	165	3679
43	166	3625
44	168	3575
45	170	3536
46	172	3488
47	173	3442
48	175	3400
49	178	3400
50	180	3360
51	181	3317
52	183	3274
53	184	3233
54	185	3195
55	187	3158
56	188	3122
57	190	3088
58	192	3071
59	194	3045
60	195	3013
61	197	2982
62	198	2952
63	199	2921
64	201	2891
65	202	2864
66	203	2836
67	205	2813
68	207	2799
69	209	2782
70	210	2759
71	212	2736
72	213	2713
73	215	2692
74	216	2670
75	217	2649
76	219	2628
77	220	2606
78	222	2598
79	224	2582
80	226	2566
81	227	2552
82	229	2530
83	230	2512
84	231	2496
85	233	2480
86	234	2462
87	236	2448
88	239	2448
89	240	2435
90	242	2419
91	243	2404
92	244	2388
93	246	2373
94	247	2358
95	249	2345
96	251	2341
97	253	2331
98	254	2319
99	256	2305
100	257	2294
101	259	2281
102	260	2268
103	261	2254
104	263	2242
105	264	2229
106	266	2228
107	268	2218
108	270	2207
109	271	2195
110	272	2183
111	274	2172
112	275	2162
113	276	2151
114	278	2140
115	279	2129
116	281	2122
117	283	2118
118	284	2108
119	286	2098
120	287	2089
121	288	2077
122	289	2067
123	291	2058
124	292	2049
125	294	2039
126	296	2035
127	297	2030
128	299	2022
129	300	2013
130	302	2005
131	303	1996
132	304	1987
133	306	1979
134	307	1970
135	308	1962
136	310	1958
137	312	1952
138	313	1944
139	315	1940
140	317	1935
141	318	1925
142	319	1917
143	321	1909
144	322	1902
145	324	1895
146	326	1892
147	327	1887
148	329	1881
149	330	1874
150	332	1867
151	333	1860
152	334	1853
153	336	1847
154	337	1840
155	339	1834
156	345	1855
157	347	1854
158	349	1850
159	351	1844
160	352	1835
161	353	1830
162	357	1835
163	358	1829
164	360	1824
165	363	1828
166	367	1833
167	374	1852
168	376	1852
169	381	1863
170	387	1879
171	389	1875
172	391	1869
173	392	1864
174	395	1865
175	408	1911
176	409	1904
177	411	1898
178	412	1892
179	413	1885
180	415	1878
181	422	1899
182	425	1900
183	428	1900
184	430	1895
185	436	1910
186	441	1921
187	444	1920
188	446	1917
189	449	1915
190	450	1909
191	452	1906
192	454	1900
193	456	1896
194	457	1890
195	459	1885
196	462	1883
197	463	1877
198	467	1880
199	479	1919
200	484	1924
201	485	1918
202	487	1913
203	489	1908
204	492	1911
205	495	1910
206	500	1917
207	503	1917
208	510	1932
209	513	1930
210	515	1926
211	517	1922
212	518	1915
213	519	1909
214	521	1902
215	522	1896
216	528	1907
217	531	1908
218	534	1906
219	536	1902
220	538	1897
221	541	1896
222	542	1890
223	544	1884
224	545	1878
225	546	1872
226	548	1868
227	549	1861
228	551	1855
229	553	1854
230	555	1850
231	557	1846
232	559	1841
233	561	1836
234	562	1832
235	564	1827
236	566	1823
237	568	1821
238	574	1827
239	575	1823
240	577	1818
241	578	1813
242	580	1807
243	581	1802
244	587	1811
245	590	1808
246	592	1805
247	593	1800
248	595	1795
249	596	1790
250	600	1792
251	603	1790
252	604	1786
253	606	1781
254	608	1777
255	609	1771
256	611	1766
257	612	1761
258	615	1761
259	617	1757
260	619	1752
261	622	1753
262	623	1748
263	625	1742
264	626	1737
265	627	1732
266	632	1736
267	635	1734
268	636	1729
269	637	1724
270	639	1721
271	641	1716
272	642	1711
273	645	1710
274	647	1706
275	649	1702
276	651	1701
277	653	1696
278	654	1692
279	656	1687
280	657	1683
281	661	1683
282	662	1678
283	664	1674
284	665	1670
285	667	1665
286	668	1661
287	670	1656
288	671	1652
289	673	1648
290	677	1651
291	679	1646
292	680	1642
293	682	1638
294	684	1635
295	685	1631
296	687	1627
297	692	1631
298	695	1631
299	697	1628
300	700	1626
301	702	1622
302	703	1618
303	708	1622
304	710	1618
305	712	1615
306	714	1611
307	715	1607
308	717	1604
309	719	1600
310	722	1601
311	724	1597
312	726	1593
313	727	1589
314	729	1585
315	730	1581
316	732	1577
317	733	1573
318	737	1573
319	738	1569
320	740	1565
321	743	1564
322	744	1561
323	746	1557
324	747	1553
325	750	1551
326	752	1548
327	753	1544
328	755	1540
329	756	1535
330	757	1531
331	758	1527
332	760	1522
333	761	1518
334	763	1514
335	766	1515
336	768	1512
337	770	1509
338	772	1505
339	773	1502
340	775	1498
341	776	1494
342	778	1490
343	784	1496
344	787	1494
345	790	1493
346	791	1489
347	793	1486
348	794	1482
349	806	1497
350	807	1493
351	809	1489
352	810	1486
353	813	1485
354	816	1483
355	819	1482
356	822	1480
357	824	1477
358	834	1490
359	837	1488
360	839	1485
361	840	1481
362	843	1480
363	845	1476
364	846	1473
365	848	1469
366	849	1465
367	851	1462
368	853	1458
369	856	1459
370	859	1457
371	863	1457
372	866	1456
373	869	1455
374	872	1453
375	874	1451
376	883	1459
377	887	1459
378	889	1456
379	890	1453
380	892	1450
381	897	1452
382	909	1465
383	916	1469
384	918	1466
385	920	1463
386	923	1462
387	927	1463
388	930	1461
389	932	1458
390	934	1455
391	935	1451
392	937	1448
393	939	1444
394	941	1442
395	943	1439
396	944	1435
397	946	1431
398	948	1429
399	952	1428
400	956	1428
401	958	1426
402	961	1425
403	964	1422
404	966	1419
405	967	1416
406	969	1413
407	975	1415
408	981	1418
409	983	1415
410	985	1412
411	992	1416
412	997	1417
413	999	1414
414	1000	1411
415	1009	1416
416	1011	1413
417	1012	1410
418	1014	1407
419	1016	1404
420	1050	1445
421	1087	1489
422	1090	1487
423	1093	1485
424	1096	1482
425	1097	1479
426	1102	1479
427	1113	1488
428	1122	1494
429	1127	1493
430	1129	1491
431	1133	1490
432	1136	1488
433	1138	1485
434	1153	1498
435	1164	1507
436	1167	1503
437	1169	1500
438	1171	1497
439	1180	1502
440	1182	1499
441	1185	1496
442	1197	1506
443	1200	1503
444	1203	1500
445	1213	1507
446	1216	1504
447	1218	1500
448	1231	1511
449	1245	1522
450	1249	1521
451	1265	1534
452	1278	1544
453	1282	1542
454	1285	1539
455	1295	1545
456	1297	1541
457	1299	1537
458	1304	1537
459	1307	1534
460	1309	1531
461	1312	1528
462	1325	1537
463	1330	1536
464	1333	1534
465	1340	1535
466	1342	1532
467	1345	1529
468	1348	1526
469	1351	1523
470	1359	1526
471	1361	1522
472	1363	1518
473	1368	1518
474	1374	1518
475	1389	1529
476	1392	1526
477	1394	1522
478	1396	1518
479	1401	1517
480	1402	1513
481	1406	1511
482	1411	1511
483	1421	1515
484	1424	1512
485	1428	1510
486	1434	1511
487	1436	1507
488	1438	1503
489	1450	1509
490	1452	1506
491	1455	1502
492	1457	1498
493	1462	1498
494	1465	1494
495	1467	1490
496	1469	1487
497	1472	1484
498	1474	1480
499	1479	1479
500	1481	1476
501	1484	1473
502	1487	1469
503	1489	1466
504	1493	1464
505	1501	1465
506	1512	1470
507	1514	1466
508	1516	1462
509	1518	1459
510	1524	1458
511	1526	1454
512	1528	1450
513	1529	1446
514	1531	1442
515	1533	1438
516	1535	1434
517	1537	1430
518	1542	1429
519	1546	1427
520	1557	1431
521	1559	1427
522	1561	1424
523	1563	1420
524	1565	1416
525	1570	1414
526	1573	1411
527	1582	1415
528	1587	1413
529	1591	1411
530	1594	1408
531	1602	1410
532	1607	1408
533	1611	1406
534	1625	1412
535	1630	1411
536	1634	1409
537	1638	1406
538	1650	1411
539	1654	1409
540	1661	1409
541	1669	1411
542	1676	1411
543	1690	1417
544	1692	1413
545	1697	1411
546	1699	1407
547	1702	1403
548	1715	1409
549	1717	1405
550	1720	1401
551	1728	1402
552	1731	1399
553	1739	1400
554	1744	1398
555	1747	1395
556	1749	1391
557	1752	1388
558	1755	1384
559	1765	1386
560	1767	1383
561	1769	1379
562	1771	1375
563	1775	1372
564	1778	1369
565	1780	1365
566	1782	1361
567	1784	1357
568	1793	1358
569	1798	1356
570	1803	1354
571	1807	1352
572	1809	1348
573	1816	1347
574	1822	1346
575	1830	1347
576	1837	1347
577	1842	1344
578	1844	1340
579	1846	1337
580	1854	1337
581	1857	1334
582	1860	1330
583	1862	1326
584	1865	1323
585	1869	1320
586	1872	1317
587	1874	1313
588	1878	1311
589	1886	1310
590	1890	1308
591	1893	1305
592	1900	1304
593	1906	1302
594	1910	1300
595	1916	1299
596	1919	1295
597	1922	1292
598	1924	1288
599	1930	1286
600	1931	1282
601	1934	1279
602	1938	1275
603	1947	1276
604	1950	1273
605	1952	1269
606	1954	1265
607	1960	1264
608	1968	1264
609	1971	1260
610	1978	1259
611	1984	1258
612	1988	1255
613	1992	1252
614	1995	1248
615	2002	1248
616	2006	1245
617	2010	1242
618	2014	1239
619	2018	1237
620	2028	1238
621	2032	1234
622	2034	1230
623	2036	1227
624	2047	1228
625	2063	1232
626	2065	1228
627	2070	1226
628	2075	1224
629	2078	1220
630	2083	1218
631	2085	1214
632	2087	1210
633	2091	1207
634	2093	1203
635	2095	1199
636	2097	1195
637	2099	1191
638	2102	1187
639	2104	1183
640	2107	1180
641	2114	1178
642	2116	1175
643	2118	1171
644	2121	1167
645	2123	1163
646	2126	1159
647	2130	1157
648	2132	1153
649	2134	1149
650	2137	1145
651	2138	1141
652	2141	1137
653	2147	1136
654	2150	1132
655	2152	1128
656	2154	1124
657	2155	1120
658	2157	1116
659	2160	1113
660	2162	1109
661	2164	1105
662	2165	1100
663	2167	1096
664	2169	1092
665	2171	1089
666	2174	1085
667	2176	1081
668	2177	1077
669	2179	1073
670	2181	1069
671	2182	1065
672	2187	1062
673	2191	1059
674	2195	1056
675	2196	1052
676	2198	1048
677	2200	1044
678	2201	1040
679	2203	1036
680	2206	1033
681	2207	1029
682	2210	1025
683	2212	1022
684	2213	1018
685	2215	1014
686	2218	1010
687	2221	1007
688	2222	1003
689	2224	999
690	2226	995
691	2227	991
692	2228	987
693	2230	983
694	2231	979
695	2232	975
696	2234	971
697	2237	968
698	2239	964
699	2241	960
700	2243	956
701	2244	952
702	2246	948
703	2247	945
704	2249	941
705	2252	938
706	2255	934
707	2256	930
708	2258	926
709	2259	923
710	2261	919
711	2262	915
712	2263	911
713	2265	907
714	2266	903
715	2268	899
716	2269	895
717	2271	892
718	2272	888
719	2274	884
720	2275	880
721	2276	876
722	2278	872
723	2281	869
724	2282	865
725	2284	862
726	2285	858
727	2287	854
728	2289	850
729	2290	847
730	2292	843
731	2293	839
732	2297	836
733	2298	833
734	2300	829
735	2302	825
736	2303	822
737	2305	818
738	2306	814
739	2308	810
740	2311	807
741	2315	805
742	2317	801
743	2318	797
744	2319	793
745	2321	790
746	2322	786
747	2323	782
748	2327	779
749	2329	776
750	2331	772
751	2333	769
752	2335	765
753	2336	762
754	2338	758
755	2339	755
756	2343	752
757	2344	748
758	2346	744
759	2347	741
760	2349	737
761	2350	734
762	2352	730
763	2353	726
764	2354	723
765	2357	720
766	2359	716
767	2360	713
768	2362	709
769	2363	706
770	2365	702
771	2366	698
772	2368	695
773	2369	691
774	2372	688
775	2373	685
776	2375	681
777	2376	678
778	2378	674
779	2379	671
780	2381	667
781	2382	664
782	2385	661
783	2386	657
784	2388	654
785	2389	650
786	2391	647
787	2392	643
788	2394	640
789	2395	636
790	2398	633
791	2402	630
792	2403	627
793	2405	624
794	2406	620
795	2408	617
796	2409	613
797	2411	610
798	2412	606
799	2416	604
800	2418	600
801	2419	597
802	2421	593
803	2422	590
804	2423	587
805	2424	583
806	2426	580
807	2427	576
808	2429	573
809	2431	570
810	2433	567
811	2434	563
812	2435	560
813	2437	556
814	2438	553
815	2440	550
816	2441	546
817	2442	543
818	2443	540
819	2446	537
820	2448	533
821	2449	530
822	2450	527
823	2452	523
824	2453	520
825	2455	517
826	2456	513
827	2458	510
828	2459	507
829	2461	504
830	2463	500
831	2464	497
832	2465	494
833	2467	491
834	2468	487
835	2469	484
836	2471	481
837	2472	478
838	2474	474
839	2476	471
840	2478	468
841	2479	465
842	2481	462
843	2482	458
844	2483	455
845	2485	452
846	2486	449
847	2487	445
848	2489	442
849	2492	439
850	2494	436
851	2495	433
852	2497	430
853	2499	427
854	2500	424
855	2501	420
856	2503	417
857	2504	414
858	2507	411
859	2508	408
860	2510	405
861	2511	402
862	2512	398
863	2514	395
864	2515	392
865	2517	389
866	2518	386
867	2519	383
868	2522	380
869	2523	377
870	2525	374
871	2526	370
872	2528	367
873	2530	364
874	2532	361
875	2535	358
876	2538	355
877	2539	352
878	2540	349
879	2542	346
880	2543	343
881	2544	340
882	2546	337
883	2547	334
884	2548	331
885	2550	328
886	2552	325
887	2553	322
888	2555	319
889	2556	315
890	2558	312
891	2559	309
892	2560	306
893	2562	303
894	2563	300
